Years of Experience (STEP) ,Paraprofessional,Paraprofessional Option ,Asst Teacher,Asst Teacher Option,Front Office Administrator- Purchasing (Hourly),Front Office Administrator- Purchasing (Annual),Degreed Sub (Phasing out- Do Not Use for new sub roles),"Assistant Deans, Associate Teacher",Front Office Administrator-Data (Hourly),Front Office Administrator- Data (Annual),Teacher,Teacher Option 1,Teacher Option 2,Lead Dean,Speech Language Pathologist,Nurse,Schools Operations Manager,"Assistant Principal, SPED Coordinator,  RTI Coordinator",Principal,SchoolDirector,Bonus Amount
0,"$28,850","$30,000","$31,900","$35,000",$16.50,"$34,320","$36,650","$39,000",$19.50,"$40,560","$48,000","$50,000","$50,000","$60,750","$61,000","$62,500","$65,500","$69,500","$90,000","$108,000",--
1,"$29,139","$30,600","$32,219","$35,700",$16.67,"$34,663","$37,017","$39,390",$19.70,"$40,966","$48,960","$51,000","$51,000","$61,358","$61,610","$63,125","$66,155","$70,195","$90,900","$109,080",$500
2,"$29,430","$31,212","$32,541","$36,414",$16.83,"$35,010","$37,387","$39,784",$19.89,"$41,375","$50,920","$52,020","$52,020","$61,971","$62,226","$63,756","$66,817","$70,897","$91,809","$110,171",$500
3,"$29,724","$31,836","$32,867","$37,142",$17.00,"$35,360","$37,761","$40,182",$20.09,"$41,789","$51,430","$53,060","$53,060","$62,591","$62,848","$64,394","$67,485","$71,606","$92,727","$111,273",$750
4,"$30,021","$32,473","$33,195","$37,885",$17.17,"$35,714","$38,138","$40,584",$20.29,"$42,207","$51,945","$54,122","$54,122","$63,217","$63,477","$65,038","$68,160","$72,322","$93,654","$112,385",$750
5,"$30,322","$33,122","$33,527","$38,643",$17.34,"$36,071","$38,520","$40,989",$20.49,"$42,629","$56,105","$55,204","$55,204","$63,849","$64,112","$65,688","$68,841","$73,045","$94,591","$113,509",$750
6,"$30,625","$33,785","$33,862","$39,416",$17.52,"$36,431","$38,905","$41,399",$20.70,"$43,055","$56,670","$56,308","$56,308","$64,487","$64,753","$66,345","$69,530","$73,776","$95,537","$114,644","$1,000"
7,"$30,931","$34,461","$34,201","$40,204",$17.69,"$36,796","$39,294","$41,813",$20.91,"$43,486","$57,240","$57,434","$57,434","$65,132","$65,400","$67,008","$70,225","$74,513","$96,492","$115,791","$1,000"
8,"$31,240","$35,150","$34,543","$41,008",$17.87,"$37,164","$39,687","$42,231",$21.12,"$43,921","$57,815","$58,583","$58,583","$65,784","$66,054","$67,679","$70,927","$75,259","$97,457","$116,949","$1,000"
9,"$31,553","$35,853","$34,889","$41,828",$18.05,"$37,535","$40,084","$42,654",$21.33,"$44,360","$60,130","$59,755","$59,755","$66,441","$66,715","$68,355","$71,636","$76,011","$98,432","$118,118","$1,000"
